cell_line	drugcombo	mean.bliss.estimate	p.value	conf.int.low	conf.int.high	p.value.bonferroni
A498	5Z	NA	NA	NA	NA	NA
SW-620	5Z	NA	NA	NA	NA	NA
AGS	5Z	NA	NA	NA	NA	NA
DU-145	5Z	NA	NA	NA	NA	NA
UACC-62	5Z	NA	NA	NA	NA	NA
SF-295	5Z	NA	NA	NA	NA	NA
COLO 205	5Z	NA	NA	NA	NA	NA
MDA-MB-468	5Z	NA	NA	NA	NA	NA
A498	AK	NA	NA	NA	NA	NA
SW-620	AK	NA	NA	NA	NA	NA
AGS	AK	NA	NA	NA	NA	NA
DU-145	AK	NA	NA	NA	NA	NA
UACC-62	AK	NA	NA	NA	NA	NA
SF-295	AK	NA	NA	NA	NA	NA
COLO 205	AK	NA	NA	NA	NA	NA
MDA-MB-468	AK	NA	NA	NA	NA	NA
A498	5Z AK	-0.0221199571528603	0.0299838952017416	-0.0419819485350431	-0.00225796577067743	1
SW-620	5Z AK	-0.00801465605092608	0.365265473830221	-0.0257112878527963	0.0096819757509441	1
AGS	5Z AK	-0.0243702162617444	0.146438166863074	-0.0577716532960237	0.00903122077253488	1
DU-145	5Z AK	-0.0434435237165727	0.000540295018665919	-0.0667489041608497	-0.0201381432722957	0.739123585534978
UACC-62	5Z AK	-0.043089489190556	1.63911948014087e-05	-0.0608236771492648	-0.0253553012318471	0.0224231544883271
SF-295	5Z AK	-0.00936969318595763	0.292551065240891	-0.0271323257853118	0.00839293941339652	1
COLO 205	5Z AK	-0.0537652306203444	2.11036039172316e-06	-0.0733226943851994	-0.0342077668554894	0.00288697301587728
MDA-MB-468	5Z AK	0.023527034918286	0.231572439667519	-0.017957979542644	0.065012049379216	1
A498	BI	NA	NA	NA	NA	NA
SW-620	BI	NA	NA	NA	NA	NA
AGS	BI	NA	NA	NA	NA	NA
DU-145	BI	NA	NA	NA	NA	NA
UACC-62	BI	NA	NA	NA	NA	NA
SF-295	BI	NA	NA	NA	NA	NA
COLO 205	BI	NA	NA	NA	NA	NA
MDA-MB-468	BI	NA	NA	NA	NA	NA
A498	5Z BI	0.0815010536663532	1.23618070019063e-06	0.0527209899476183	0.110281117385088	0.00169109519786079
SW-620	5Z BI	0.325119382925262	2.21297539073666e-08	0.231037793270398	0.419200972580126	3.02735033452775e-05
AGS	5Z BI	0.304336402549274	2.39577675774445e-10	0.238404991945758	0.370267813152789	3.27742260459441e-07
DU-145	5Z BI	0.132376160686691	2.2569082089927e-06	0.0840406007401443	0.180711720633238	0.00308745042990201
UACC-62	5Z BI	0.428324496962807	1.12507325199404e-16	0.365913646768317	0.490735347157297	1.53910020872785e-13
SF-295	5Z BI	0.0822644097683571	0.000840880463059166	0.036278270589983	0.128250548946731	1
COLO 205	5Z BI	0.369156949681635	3.55391881321887e-17	0.317225558757527	0.421088340605743	4.86176093648342e-14
MDA-MB-468	5Z BI	0.271569178767176	0.0134105106986254	0.0712905201053547	0.471847837428998	1
