Cellline	Drug A	Drug B	Barbara	Åsmund	Evelina	Gold Standard	Comment	HSA	Bliss	Loewe	Loewe capped	Strong (visual)	Strong (Bliss)	Strong		Threshold Bliss/HSA	CV Åsmund	Example			Barbara	Åsmund	Evelina	Gold standard	Bliss-call	HSA-call
UACC62	AK	BI	Synergy	Synergy	Synergy	Synergy	GS cutoff - number of 'Synergy' larger than:	-0.5632624274	-0.618258509	NA	0	1	1	TRUE							1	1	1	1	1	1
Colo205	AK	BI	Synergy	Synergy	Synergy	Synergy	2	-0.4878449435	-0.5041298911	1.98336E+26	1.98336E+26	1	1	TRUE							1	1	1	1	1	1
AGS	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.4507421592	-0.4399638304	0.007464903131	0.007464903131	1	1	TRUE							1	1	1	1	1	1
SW620	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.3958564857	-0.4319676213	2.21742E+21	2.21742E+21	1	1	TRUE							1	1	1	1	1	1
UACC62	AK	SF	Synergy	Synergy	Synergy	Synergy		-0.3811810659	-0.4217147496	NA	0	1	1	TRUE							1	1	1	1	1	1
UACC62	BI	SF	Synergy	Synergy	Synergy	Synergy		-0.3584727179	-0.421547006	2.33373E+121	2.33373E+121	1	1	TRUE							1	1	1	1	1	1
SF295	BI	SF	Synergy?	Synergy?	Synergy			-0.2894167517	-0.3812039395	3328203723143	3328203723143	0	1	FALSE							1	1	1	0	1	1
SF295	AK	SF	Synergy	Synergy	Synergy	Synergy		-0.3461217325	-0.3801323377	3.4983E+292	3.4983E+292	1	1	TRUE							1	1	1	1	1	1
DU145	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.3316268105	-0.3783747302	NA	0	1	1	TRUE							1	1	1	1	1	1
A498	AK	SF	Synergy	Synergy!	Synergy			-0.3411898235	-0.3658303766	NA	0	0	1	FALSE							1	1	1	0	1	1
UACC62	D1	SF	Synergy	Synergy	Synergy	Synergy		-0.3033396965	-0.3567194823	0.04778551284	0.04778551284	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.2632663635	-0.3358570168	83.35277322	83.35277322	1	1	TRUE							1	1	1	1	1	1
A498	BI	SF	Synergy	Synergy!	Synergy			-0.2647345314	-0.3287746193	258532797.9	258532797.9	0	1	FALSE							1	1	1	0	1	1
UACC62	SF	G2		Synergy	Synergy			-0.2856169668	-0.3073980678	0.7968312641	0.7968312641	0	1	FALSE							0	1	1	0	1	1
SW620	BI	SF	Synergy	Synergy	Synergy	Synergy		-0.2666512208	-0.2979787853	2.72985E+51	2.72985E+51	1	1	TRUE							1	1	1	1	1	1
SW620	AK	SF	Synergy	Synergy	Synergy	Synergy		-0.2992657111	-0.288130769	0.5889561852	0.5889561852	1	1	TRUE							1	1	1	1	1	1
UACC62	CT	SF	Synergy	Synergy	Synergy	Synergy		-0.2666642313	-0.2862399003	124.3465479	124.3465479	1	1	TRUE							1	1	1	1	1	1
SF295	BI	PI	Synergy?	Synergy	Synergy			-0.1955554673	-0.2853002907	2377817839	2377817839	0	1	FALSE							1	1	1	0	1	1
UACC62	JN	SF	Synergy	-	Synergy			-0.2399707843	-0.2711121417	1106.99932	1106.99932	0	1	FALSE							1	0	1	0	1	1
Colo205	AK	SF	Synergy?	Synergy	Synergy			-0.2436505024	-0.2707297418	2.50993E+23	2.50993E+23	0	1	FALSE							1	1	1	0	1	1
UACC62	BI	PI	Synergy	Synergy	Synergy	Synergy		-0.2125268753	-0.2689043036	7.51202E+32	7.51202E+32	1	1	TRUE							1	1	1	1	1	1
Colo205	BI	SF	Synergy	Synergy	Synergy	Synergy		-0.2506421613	-0.2685245709	637.7176582	637.7176582	1	1	TRUE							1	1	1	1	1	1
UACC62	PI	SF	Synergy	Synergy	Synergy	Synergy		-0.2404082777	-0.2672971554	20163.28098	20163.28098	1	1	TRUE							1	1	1	1	1	1
A498	BI	PI	Synergy	Synergy	Synergy	Synergy		-0.1847720418	-0.2629263271	4824.119458	4824.119458	1	1	TRUE							1	1	1	1	1	1
UACC62	60	SF	Synergy	Synergy	Synergy	Synergy		-0.233736245	-0.2595107181	1270.435394	1270.435394	1	1	TRUE							1	1	1	1	1	1
SF295	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.165413512	-0.2582712924	1.91535E+78	1.91535E+78	1	1	TRUE							1	1	1	1	1	1
UACC62	D4	SF	Synergy	Synergy	Synergy	Synergy		-0.2328949411	-0.2481644055	3760.145432	3760.145432	1	1	TRUE							1	1	1	1	1	1
DU145	BI	SF	Synergy?	Synergy!?	Synergy			-0.2080900363	-0.2473819157	NA	0	0	1	FALSE							1	0	1	0	1	1
MDA-MB-468	BI	PI	Synergy	Synergy	Synergy	Synergy		-0.1659055527	-0.2464681543	1.201159537	1.201159537	1	1	TRUE							1	1	1	1	1	1
DU145	AK	SF	Synergy?	Synergy	Synergy			-0.2172364891	-0.2451959626	21870788884070	21870788884070	0	1	FALSE							1	1	1	0	1	1
SF295	JN	SF	Synergy?	Synergy?	Synergy			-0.2037147356	-0.2416587386	55.33509504	55.33509504	0	1	FALSE							1	1	1	0	1	1
UACC62	PI	D1	Synergy	Synergy	Synergy	Synergy		-0.195265492	-0.2404002058	3.54489565	3.54489565	1	1	TRUE							1	1	1	1	1	1
SF295	PI	D1	Synergy?	Synergy?	Synergy?			-0.1656764886	-0.2360200167	9.0308E+20	9.0308E+20	0	1	FALSE							1	1	1	0	1	1
A498	AK	BI	Synergy	Synergy	Synergy	Synergy		-0.1589222404	-0.2231870513	5.5038E+80	5.5038E+80	1	1	TRUE							1	1	1	1	1	1
SF295	SF	P5	Synergy	Synergy	Synergy	Synergy		-0.1896923458	-0.2221489997	0.1970872821	0.1970872821	1	1	TRUE							1	1	1	1	1	1
UACC62	SF	P5		-	Synergy?			-0.1919473339	-0.2198239303	4.232746687	4.232746687	0	1	FALSE							0	0	1	0	1	1
SF295	PI	JN	Synergy	Synergy	Synergy	Synergy		-0.1994853291	-0.2195571308	10922.37001	10922.37001	1	1	TRUE							1	1	1	1	1	1
SW620	CT	SF	Synergy	Synergy	Synergy	Synergy		-0.2480041124	-0.215212378	22.10257719	22.10257719	1	1	TRUE							1	1	1	1	1	1
SF295	D1	SF	Synergy	Synergy	Synergy	Synergy		-0.142749434	-0.2119751044	97687301796	97687301796	1	1	TRUE							1	1	1	1	1	1
A498	PD	G2	Synergy	Synergy	Synergy	Synergy		-0.2925844725	-0.2116114381	0.09582785055	0.09582785055	1	1	TRUE							1	1	1	1	1	1
A498	AK	PD	Synergy	Synergy	Synergy	Synergy		-0.1972214852	-0.2074980812	2.83832E+137	2.83832E+137	1	1	TRUE							1	1	1	1	1	1
UACC62	PI	JN	Synergy	-	Synergy			-0.2032057554	-0.2050088476	0.4858974962	0.4858974962	0	1	FALSE							1	0	1	0	1	1
SF295	CT	SF	Synergy?	Synergy?	Synergy			-0.1872785386	-0.2005739342	4033983.819	4033983.819	0	1	FALSE							1	1	1	0	1	1
DU145	CT	SF		Synergy!?	Synergy?			-0.191862929	-0.199867218	16270.36526	16270.36526	0	1	FALSE							0	0	1	0	1	1
MDA-MB-468	AK	PI	Synergy	Synergy	Synergy	Synergy		-0.2073171926	-0.1993757516	45.95444017	45.95444017	1	1	TRUE							1	1	1	1	1	1
SF295	SF	G2		Synergy?	Synergy?			-0.1840329974	-0.1992027997	399.5544083	399.5544083	0	1	FALSE							0	1	1	0	1	1
UACC62	JN	D1		Synergy?	Synergy?			-0.146297179	-0.1948020088	1.131737982	1.131737982	0	1	FALSE							0	1	1	0	1	1
SF295	PK	ST		-				-0.1725626525	-0.193191475	1.536035761	1.536035761	0	1	FALSE							0	0	0	0	1	1
SW620	SF	G2	Synergy	Synergy	Synergy	Synergy		-0.2503363831	-0.1922603922	1.66372035	1.66372035	1	1	TRUE							1	1	1	1	1	1
AGS	PI	D1	Synergy	Synergy	Synergy	Synergy		-0.2307882906	-0.1922137187	0.2255842221	0.2255842221	1	1	TRUE							1	1	1	1	1	1
UACC62	PI	G2	Synergy	Synergy	Synergy	Synergy		-0.2078101334	-0.1918545247	0.7067332464	0.7067332464	1	1	TRUE							1	1	1	1	1	1
A498	PI	D1	Synergy	Synergy	Synergy	Synergy		-0.1426778199	-0.1895361348	NA	0	1	1	TRUE							1	1	1	1	1	1
SW620	PI	D1	Synergy?	Synergy	Synergy?			-0.1791298363	-0.1882006554	1.125350303	1.125350303	0	1	FALSE							1	1	1	0	1	1
A498	CT	SF	Synergy?	Synergy	Synergy			-0.1795845844	-0.1877910106	13.13764193	13.13764193	0	1	FALSE							1	1	1	0	1	1
A498	SF	P5	Synergy	Synergy	Synergy	Synergy		-0.1600594379	-0.1870133409	0.741407984	0.741407984	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	AK	SF	Synergy	Synergy	Synergy	Synergy		-0.189359674	-0.1861547883	184.3487612	184.3487612	1	1	TRUE							1	1	1	1	1	1
SF295	JN	P5	Synergy?	-	Synergy			-0.1673235883	-0.1821047593	0.3642608022	0.3642608022	0	1	FALSE							1	0	1	0	1	1
DU145	BI	PI	Synergy?	Synergy?	Synergy?			-0.1454538841	-0.1811980049	NA	0	0	1	FALSE							1	1	1	0	1	1
SW620	BI	PI	Synergy?	Synergy	Synergy?			-0.1527577021	-0.1807002629	35322844265292	35322844265292	0	1	FALSE							1	1	1	0	1	1
SF295	JN	D1		-				-0.1167071545	-0.1800844307	6603011997	6603011997	0	1	FALSE							0	0	0	0	1	1
SF295	PI	P5	Synergy	Synergy	Synergy	Synergy		-0.1848603694	-0.1797492275	0.5907866383	0.5907866383	1	1	TRUE							1	1	1	1	1	1
